id,document_number,title,url,legal_type,legal_sectors,issuing_authority,issuance_date,signers
50919,49/2003/NĐ-CP,"Nghị định 49/2003/NĐ-CP quy định chức năng nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Y tế",https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-dinh-49-2003-ND-CP-chuc-nang-nhiem-vu-quyen-han-co-cau-to-chuc-Bo-Y-te-50919.aspx,Nghị định,"Bộ máy hành chính, Thể thao - Y tế",Chính phủ,,Phan Văn Khải:612
52932,36/2005/NĐ-CP,"Nghị định 36/2005/NĐ-CP Hướng dẫn Luật Bảo vệ, chăm sóc và giáo dục trẻ em",https://thuvienphapluat.vn/van-ban/Giao-duc/Nghi-dinh-36-2005-ND-CP-huong-dan-Luat-Bao-ve-cham-soc-va-giao-duc-tre-em-52932.aspx,Nghị định,"Giáo dục, Thể thao - Y tế, Văn hóa - Xã hội",Chính phủ,,Phan Văn Khải:612
645106,42/2025/NĐ-CP,"Nghị định 42/2025/NĐ-CP quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Y tế",https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-dinh-42-2025-ND-CP-nhiem-vu-quyen-han-va-co-cau-to-chuc-cua-Bo-Y-te-645106.aspx,Nghị định,"Bộ máy hành chính, Thể thao - Y tế",Chính phủ,,Lê Thành Long:943
412696,36/2019/NĐ-CP,"Nghị định 36/2019/NĐ-CP hướng dẫn Luật Thể dục, Thể thao sửa đổi",https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Nghi-dinh-36-2019-ND-CP-huong-dan-Luat-The-duc-The-thao-sua-doi-412696.aspx,Nghị định,Thể thao - Y tế,Chính phủ,,Nguyễn Xuân Phúc:1849
324554,106/2017/NĐ-CP,"Nghị định 106/2017/NĐ-CP sửa đổi Nghị định 67/2013/NĐ-CP hướng dẫn và biện pháp thi hành Luật phòng, chống tác hại của thuốc lá về kinh doanh thuốc lá",https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Nghi-dinh-106-2017-ND-CP-sua-doi-Nghi-dinh-huong-dan-Luat-phong-chong-tac-hai-cua-thuoc-la-324554.aspx,Nghị định,"Thương mại, Thể thao - Y tế",Chính phủ,,Nguyễn Xuân Phúc:1849
583328,96/2023/NĐ-CP,"Nghị định 96/2023/NĐ-CP hướng dẫn Luật Khám bệnh, chữa bệnh",https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Nghi-dinh-96-2023-ND-CP-huong-dan-Luat-Kham-benh-chua-benh-583328.aspx,Nghị định,Thể thao - Y tế,Chính phủ,,Trần Hồng Hà:1381
201023,77/2013/NĐ-CP,"Nghị định 77/2013/NĐ-CP hướng dẫn Luật phòng, chống tác hại của thuốc lá về biện pháp phòng, chống tác hại của thuốc lá",https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Nghi-dinh-77-2013-ND-CP-huong-dan-Luat-phong-chong-tac-hai-cua-thuoc-la-bien-phap-phong-chong-201023.aspx,Nghị định,"Thể thao - Y tế, Văn hóa - Xã hội",Chính phủ,,Nguyễn Tấn Dũng:436
371206,161/2017/NĐ-CP,"Nghị định 161/2017/NĐ-CP về sửa đổi Điều 12 Nghị định 21/2016/NĐ-CP quy định việc thực hiện chức năng thanh tra chuyên ngành về đóng bảo hiểm xã hội, bảo hiểm thất nghiệp, bảo hiểm y tế của cơ quan bảo hiểm xã hội",https://thuvienphapluat.vn/van-ban/Bao-hiem/Nghi-dinh-161-2017-ND-CP-sua-doi-Dieu-12-Nghi-dinh-21-2016-ND-CP-bao-hiem-xa-hoi-371206.aspx,Nghị định,"Bảo hiểm, Bộ máy hành chính, Thể thao - Y tế",Chính phủ,,Nguyễn Xuân Phúc:1849
385467,169/2018/NĐ-CP,Nghị định 169/2018/NĐ-CP sửa đổi Nghị định 36/2016/NĐ-CP về quản lý trang thiết bị y tế,https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Nghi-dinh-169-2018-ND-CP-sua-doi-Nghi-dinh-36-2016-ND-CP-ve-quan-ly-trang-thiet-bi-y-te-385467.aspx,Nghị định,Thể thao - Y tế,Chính phủ,,Nguyễn Xuân Phúc:1849
201711,82/2013/NĐ-CP,Nghị định 82/2013/NĐ-CP về danh mục chất ma túy và tiền chất,https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Nghi-dinh-82-2013-ND-CP-danh-muc-chat-ma-tuy-va-tien-chat-201711.aspx,Nghị định,Thể thao - Y tế,Chính phủ,,Nguyễn Tấn Dũng:436
127166,61/2011/NĐ-CP,"Nghị định 61/2011/NĐ-CP sửa đổi Nghị định 135/2004/NĐ-CP quy định về chế độ áp dụng biện pháp đưa vào cơ sở chữa bệnh, tổ chức hoạt động của cơ sở chữa bệnh theo Pháp lệnh xử lý vi phạm hành chính và chế độ áp dụng đối với người chưa thành niên, người tự nguyện vào cơ sở chữa bệnh",https://thuvienphapluat.vn/van-ban/Vi-pham-hanh-chinh/Nghi-dinh-61-2011-ND-CP-sua-doi-Nghi-dinh-135-2004-ND-CP-127166.aspx,Nghị định,"Vi phạm hành chính, Thể thao - Y tế, Văn hóa - Xã hội",Chính phủ,,Nguyễn Tấn Dũng:436
